2021-11-11T09:03:35.501Z [AUDIT] Token created by 'anonymous': tokenId='ba713e70-e939-4689-9aa5-27e3a1c0bd6e', issuer='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', subject='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', expiry=none, refreshable=false
2021-11-11T10:35:40.589Z [AUDIT] Token created by 'jffe@000': tokenId='9b51c6c6-b109-4065-bf48-e8275e462e02', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1636627540589, refreshable=false
2021-11-11T10:43:52.447Z [AUDIT] Token created by 'jffe@000': tokenId='b40b95d1-7421-44f7-91a2-e8bfa2191670', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628032447, refreshable=false
2021-11-11T10:43:52.447Z [AUDIT] Token created by 'jffe@000': tokenId='0fcc2ba1-aa66-4eed-b476-9d412b9c9f51', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628032447, refreshable=false
2021-11-11T10:43:52.448Z [AUDIT] Token created by 'jffe@000': tokenId='85e2cbb7-3ef2-4d83-89e1-e1388d6d20f3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628032448, refreshable=false
2021-11-11T10:43:52.450Z [AUDIT] Token created by 'jffe@000': tokenId='e3761898-1c3e-44c6-ac5b-bc2fa88afaf2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628032450, refreshable=false
2021-11-11T10:43:52.451Z [AUDIT] Token created by 'jffe@000': tokenId='fceb9275-9c08-4440-977b-169ef52e0ed7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628032451, refreshable=false
2021-11-11T10:45:53.141Z [AUDIT] Token created by 'jffe@000': tokenId='7c1d05d4-65c1-4b81-8c00-b4bb0c21b9a4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636628153141, refreshable=false
2021-11-11T10:53:52.548Z [AUDIT] Token created by 'jffe@000': tokenId='8dd1856c-4e2f-4a60-a68b-809b288f9913', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628632548, refreshable=false
2021-11-11T10:53:52.550Z [AUDIT] Token created by 'jffe@000': tokenId='fc782535-817b-4fe6-9574-c1fd7d66f2da', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628632550, refreshable=false
2021-11-11T10:53:52.553Z [AUDIT] Token created by 'jffe@000': tokenId='d5ed06ee-278b-48c6-9c60-89f6af97c658', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628632553, refreshable=false
